z,H_SI,H_km_s_Mpc
1.57875,5.3907478017195386e-18,166.3410963923985
1.58,5.3942280225259805e-18,166.44848478560928
1.58125,5.397709371801174e-18,166.5559079997273
1.5825,5.401191848998357e-18,166.66336601788137
1.58375,5.4046754535714734e-18,166.77085882322183
1.585,5.408160184975167e-18,166.87838639892078
1.58625,5.4116460426647906e-18,166.9859487281722
1.5875000000000001,5.415133026096397e-18,167.09354579419158
1.58875,5.418621134726735e-18,167.20117758021598
1.59,5.422110368013258e-18,167.30884406950415
1.59125,5.4256007254141175e-18,167.4165452453364
1.5925,5.429092206388162e-18,167.52428109101453
1.59375,5.4325848103949344e-18,167.6320515898618
1.595,5.436078536894673e-18,167.73985672522284
1.59625,5.439573385348313e-18,167.84769648046392
1.5975000000000001,5.443069355217479e-18,167.95557083897245
1.5987500000000001,5.446566445964487e-18,168.0634797841573
1.6,5.450064657052348e-18,168.17142329944866
1.60125,5.4535639879447585e-18,168.27940136829798
1.6025,5.457064438106103e-18,168.38741397417786
1.60375,5.460566007001458e-18,168.4954611005823
1.605,5.464068694096581e-18,168.60354273102632
1.60625,5.467572498857918e-18,168.7116588490461
1.6075,5.4710774207525945e-18,168.81980943819892
1.6087500000000001,5.474583459248427e-18,168.92799448206327
1.61,5.478090613813904e-18,169.03621396423847
1.61125,5.4815988839182e-18,169.1444678683449
1.6125,5.485108269031171e-18,169.25275617802404
1.61375,5.488618768623349e-18,169.3610788769382
1.615,5.49213038216594e-18,169.46943594877055
1.61625,5.495643109130831e-18,169.57782737722522
1.6175,5.499156948990584e-18,169.6862531460271
1.6187500000000001,5.502671901218434e-18,169.79471323892201
1.62,5.506187965288288e-18,169.90320763967637
1.62125,5.509705140674725e-18,170.01173633207736
1.6225,5.513223426852998e-18,170.12029929993307
1.62375,5.5167428232990275e-18,170.22889652707198
1.625,5.520263329489399e-18,170.3375279973433
1.62625,5.523784944901373e-18,170.44619369461694
1.6275,5.5273076690128735e-18,170.5548936027833
1.6287500000000001,5.530831501302487e-18,170.66362770575324
1.6300000000000001,5.534356441249467e-18,170.77239598745825
1.63125,5.537882488333732e-18,170.88119843185024
1.6325,5.54140964203586e-18,170.99003502290154
1.63375,5.5449379018370875e-18,171.0989057446048
1.635,5.54846726721932e-18,171.20781058097327
1.63625,5.5519977376651145e-18,171.31674951604032
1.6375,5.55552931265769e-18,171.42572253385976
1.63875,5.5590619916809156e-18,171.5347296185055
1.6400000000000001,5.5625957742193264e-18,171.6437707540719
1.64125,5.5661306597581065e-18,171.7528459246734
1.6425,5.56966664778309e-18,171.86195511444456
1.64375,5.573203737780774e-18,171.97109830754027
1.645,5.576741929238298e-18,172.08027548813533
1.64625,5.580281221643456e-18,172.18948664042472
1.6475,5.583821614484691e-18,172.29873174862342
1.64875,5.5873631072510954e-18,172.4080107969665
