z,H_GeV,E,DL_GeV^-1,DA_GeV^-1,chi_GeV^-1
1.71,3.7927707618841377e-42,3.1873972237028267,2.0574372909440442e+42,2.801483219106554e+41,7.592019523778761e+41
1.725,3.821219370476261e-42,3.211305079393977,2.079562208626124e+42,2.800521449206126e+41,7.631420949086694e+41
1.74,3.849769347047213e-42,3.235298123469709,2.1017251112668926e+42,2.7994633588189202e+41,7.670529603163842e+41
1.755,3.878420158259548e-42,3.259375907719887,2.1239255913882137e+42,2.798311720169846e+41,7.709348789067927e+41
1.77,3.9071712786145175e-42,3.283537990521921,2.1461632488628038e+42,2.7970692291868836e+41,7.747881764847668e+41
1.785,3.936022190301055e-42,3.3077839367138497,2.168437690738982e+42,2.79573850776503e+41,7.786131744125608e+41
1.8,3.964972383047713e-42,3.332113317469918,2.1907485310702827e+42,2.794322105956993e+41,7.824101896679582e+41
1.815,3.994021353977527e-42,3.356525710178597,2.213095390749787e+42,2.792822504093192e+41,7.861795349022335e+41
1.83,4.023168607465745e-42,3.3810206983230313,2.2354778973490348e+42,2.791242114833541e+41,7.899215184978922e+41
1.845,4.052413655000416e-42,3.405597871363872,2.2578956849613763e+42,2.7895832851534017e+41,7.936364446261428e+41
1.86,4.0817560150457647e-42,3.430256824624462,2.2803483940496422e+42,2.7878482982659813e+41,7.973246133040706e+41
1.875,4.111195212908335e-42,3.454997159178344,2.3028356712979917e+42,2.7860393754833926e+41,8.009863204514754e+41
1.89,4.140730780605848e-42,3.4798184817390494,2.3253571694678258e+42,2.7841586780184934e+41,8.046218579473447e+41
1.905,4.170362256738733e-42,3.5047204045521374,2.3479125472576367e+42,2.782208308729547e+41,8.082315136859333e+41
1.92,4.2000891863642956e-42,3.5297025452894424,2.3705014691666795e+42,2.7801903138096728e+41,8.118155716324245e+41
1.935,4.229911120873466e-42,3.5547645269455015,2.393123605362357e+42,2.7781066844229832e+41,8.153743118781455e+41
1.95,4.2598276178700995e-42,3.5799059777361144,2.4157786315511992e+42,2.7759593582892265e+41,8.189080106953218e+41
1.965,4.289838241052772e-42,3.605126530999007,2.4384662288533357e+42,2.773750221218699e+41,8.224169405913442e+41
1.98,4.31994256009903e-42,3.6304258250965598,2.461186083680359e+42,2.771481108599116e+41,8.259013703625366e+41
1.995,4.3501401505520555e-42,3.6558035033205596,2.4839378876164713e+42,2.7691538068360694e+41,8.293615651474028e+41
2.01,4.3804305937096984e-42,3.681259213798943,2.506721337302828e+42,2.766770054748654e+41,8.327977864793448e+41
2.025,4.410813476515827e-42,3.70679260940449,2.5295361343249697e+42,2.7643315449217615e+41,8.36210292338833e+41
2.04,4.4412883914539593e-42,3.732403347665436,2.5523819851032644e+42,2.761839925016517e+41,8.395993372050212e+41
2.055,4.471854936443134e-42,3.7580910906779574,2.5752586007862634e+42,2.7592967990402505e+41,8.429651721067966e+41
2.07,4.502512714735969e-42,3.7838555050205036,2.5981656971468847e+42,2.756703728577369e+41,8.463080446732524e+41
2.085,4.533261334818867e-42,3.809696261669934,2.6211029944813435e+42,2.7540622339824303e+41,8.496281991835797e+41
2.1,4.5641004103143334e-42,3.8356130359194225,2.64407021751075e+42,2.7513737955366806e+41,8.529258766163709e+41
2.115,4.595029559885352e-42,3.861605507298099,2.6670670952852885e+42,2.748639854569268e+41,8.56201314698327e+41
2.13,4.626048407141788e-42,3.88767335949239,2.690093361090912e+42,2.7458618145443067e+41,8.594547479523681e+41
2.145,4.6571565805487655e-42,3.9138162802690233,2.71314875235847e+42,2.7430410421149176e+41,8.626864077451415e+41
2.16,4.688353713336994e-42,3.9400339613996613,2.7362330105752042e+42,2.7401788681453335e+41,8.658965223339253e+41
2.175,4.719639443414983e-42,3.9663260985871354,2.7593458811985377e+42,2.737276588702127e+41,8.690853169129254e+41
2.19,4.751013413283128e-42,3.992692391393238,2.7824871135720963e+42,2.734335466015562e+41,8.722530136589644e+41
2.205,4.7824752699496104e-42,4.019132543168049,2.805656460843891e+42,2.7313567294120593e+41,8.75399831776565e+41
2.22,4.814024664848081e-42,4.045646260980758,2.828853679886604e+42,2.728341576218707e+41,8.785259875424236e+41
2.235,4.845661253757088e-42,4.072233255551952,2.852078531219914e+42,2.7252911726407353e+41,8.816316943492779e+41
2.25,4.877384696721213e-42,4.098893241187339,2.875330778934801e+42,2.7222066546128292e+41,8.847171627491696e+41
2.265,4.909194657973876e-42,4.125625935712875,2.898610190619778e+42,2.719089128625125e+41,8.877826004961033e+41
2.28,4.9410908058617755e-42,4.1524310604112635,2.921916537288986e+42,2.7159396725247118e+41,8.908282125881055e+41
2.295,4.973072812770926e-42,4.179308339959799,2.9452495933121117e+42,2.7127593362934243e+41,8.938542013086833e+41
2.31,5.005140355054259e-42,4.206257502369523,2.968609136346056e+42,2.7095491428026908e+41,8.968607662676907e+41
2.325,5.0372931129607546e-42,4.233278278925668,2.9919949472683254e+42,2.70631008854617e+41,8.998481044416016e+41
2.34,5.069530770566069e-42,4.260370404129358,3.015406810112077e+42,2.703043144350888e+41,9.028164102131966e+41
2.355,5.101853015704625e-42,4.287533615640538,3.0388445120027857e+42,2.69974925606756e+41,9.057658754106664e+41
2.37,5.134259539903131e-42,4.314767654222101,3.0623078430964785e+42,2.6964293452407596e+41,9.08696689346136e+41
2.385,5.166750038315501e-42,4.342072263685201,3.0857965965194894e+42,2.693084309759574e+41,9.116090388536158e+41
2.4,5.199324209659142e-42,4.3694471908357055,3.1093105683097034e+42,2.6897150244893624e+41,9.145031083263832e+41
2.415,5.23198175615258e-42,4.3968921854217795,3.132849557359234e+42,2.686322341885218e+41,9.173790797538019e+41
2.43,5.2647223834543885e-42,4.424407000082561,3.1564133653585027e+42,2.6829070925876995e+41,9.202371327575809e+41
2.445,5.2975458006034024e-42,4.451991390297917,3.180001796741679e+42,2.679470086001402e+41,9.230774446274829e+41
2.46,5.330451719960176e-42,4.479645114339247,3.203614658633439e+42,2.676012110856894e+41,9.259001903564852e+41
2.475,5.363439857149666e-42,4.507367933221313,3.227251760797012e+42,2.6725339357565446e+41,9.287055426753992e+41
2.49,5.3965099310051054e-42,4.535159610655072,3.250912915583475e+42,2.6690363097047435e+41,9.314936720869555e+41
