z,H_km_s_Mpc,D_C_Mpc,D_M_Mpc,D_A_Mpc,D_L_Mpc,mu_mag
1.8132,187.074842524,5024.68146987,5024.68146987,1786.10886886,14135.433911,45.7515457222
1.8144,187.183942188,5026.60394167,5026.60394167,1786.03039428,14146.8741334,45.7533024479
1.8156,187.293071345,5028.52529314,5028.52529314,1785.9515887,14158.3158154,45.7550579774
1.8168,187.402229984,5030.44552528,5030.44552528,1785.87245288,14169.7589556,45.7568123122
1.818,187.511418093,5032.36463909,5032.36463909,1785.79298761,14181.203553,45.758565454
1.8192,187.620635659,5034.28263558,5034.28263558,1785.71319366,14192.6496062,45.7603174043
1.8204,187.729882672,5036.19951573,5036.19951573,1785.63307181,14204.0971142,45.7620681647
1.8216,187.83915912,5038.11528056,5038.11528056,1785.55262282,14215.5460756,45.7638177366
1.8228,187.94846499,5040.02993105,5040.02993105,1785.47184748,14226.9964894,45.7655661217
1.824,188.057800272,5041.94346821,5041.94346821,1785.39074653,14238.4483542,45.7673133215
1.8252,188.167164953,5043.85589303,5043.85589303,1785.30932077,14249.901669,45.7690593376
1.8264,188.276559021,5045.7672065,5045.7672065,1785.22757094,14261.3564324,45.7708041714
1.8276,188.385982465,5047.67740961,5047.67740961,1785.14549781,14272.8126434,45.7725478246
1.8288,188.495435274,5049.58650336,5049.58650336,1785.06310215,14284.2703007,45.7742902987
1.83,188.604917435,5051.49448874,5051.49448874,1784.98038472,14295.7294031,45.7760315951
1.8312,188.714428938,5053.40136674,5053.40136674,1784.89734626,14307.1899495,45.7777717155
1.8324,188.823969769,5055.30713835,5055.30713835,1784.81398755,14318.6519387,45.7795106614
1.8336,188.933539919,5057.21180454,5057.21180454,1784.73030934,14330.1153694,45.7812484342
1.8348,189.043139374,5059.11536632,5059.11536632,1784.64631238,14341.5802405,45.7829850356
1.836,189.152768124,5061.01782467,5061.01782467,1784.56199741,14353.0465508,45.7847204669
1.8372,189.262426157,5062.91918056,5062.91918056,1784.4773652,14364.5142991,45.7864547299
1.8384,189.372113462,5064.81943498,5064.81943498,1784.3924165,14375.9834843,45.7881878258
1.8396,189.481830026,5066.71858892,5066.71858892,1784.30715204,14387.4541051,45.7899197564
1.8408,189.591575838,5068.61664336,5068.61664336,1784.22157257,14398.9261605,45.791650523
1.842,189.701350887,5070.51359927,5070.51359927,1784.13567884,14410.3996491,45.7933801272
1.8432,189.811155162,5072.40945764,5072.40945764,1784.04947159,14421.87457,45.7951085705
1.8444,189.92098865,5074.30421943,5074.30421943,1783.96295157,14433.3509218,45.7968358543
1.8456,190.03085134,5076.19788564,5076.19788564,1783.8761195,14444.8287034,45.7985619803
1.8468,190.140743221,5078.09045723,5078.09045723,1783.78897612,14456.3079136,45.8002869498
1.848,190.250664282,5079.98193518,5079.98193518,1783.70152218,14467.7885514,45.8020107643
1.8492,190.36061451,5081.87232046,5081.87232046,1783.61375841,14479.2706155,45.8037334254
1.8504,190.470593895,5083.76161405,5083.76161405,1783.52568553,14490.7541047,45.8054549346
1.8516,190.580602425,5085.64981691,5085.64981691,1783.43730429,14502.2390179,45.8071752933
1.8528,190.690640088,5087.53693002,5087.53693002,1783.3486154,14513.7253539,45.8088945029
1.854,190.800706874,5089.42295434,5089.42295434,1783.2596196,14525.2131117,45.8106125651
1.8552,190.91080277,5091.30789084,5091.30789084,1783.17031761,14536.7022899,45.8123294811
1.8564,191.020927766,5093.1917405,5093.1917405,1783.08071016,14548.1928876,45.8140452526
1.8576,191.13108185,5095.07450427,5095.07450427,1782.99079797,14559.6849034,45.815759881
1.8588,191.24126501,5096.95618312,5096.95618312,1782.90058176,14571.1783363,45.8174733677
1.86,191.351477236,5098.83677802,5098.83677802,1782.81006224,14582.6731851,45.8191857143
1.8612,191.461718516,5100.71628993,5100.71628993,1782.71924015,14594.1694487,45.8208969221
1.8624,191.571988839,5102.5947198,5102.5947198,1782.6281162,14605.667126,45.8226069926
1.8636,191.682288194,5104.4720686,5104.4720686,1782.53669109,14617.1662157,45.8243159273
1.8648,191.792616568,5106.3483373,5106.3483373,1782.44496555,14628.6667167,45.8260237277
1.866,191.902973952,5108.22352684,5108.22352684,1782.35294028,14640.1686279,45.8277303951
1.8672,192.013360333,5110.09763819,5110.09763819,1782.260616,14651.6719482,45.8294359311
1.8684,192.123775701,5111.9706723,5111.9706723,1782.16799341,14663.1766764,45.8311403371
1.8696,192.234220044,5113.84263013,5113.84263013,1782.07507322,14674.6828114,45.8328436144
1.8708,192.344693351,5115.71351262,5115.71351262,1781.98185615,14686.190352,45.8345457646
1.872,192.45519561,5117.58332075,5117.58332075,1781.88834288,14697.6992972,45.8362467891
1.8732,192.565726812,5119.45205545,5119.45205545,1781.79453413,14709.2096457,45.8379466894
1.8744,192.676286943,5121.31971768,5121.31971768,1781.70043059,14720.7213965,45.8396454667
1.8756,192.786875994,5123.18630839,5123.18630839,1781.60603296,14732.2345484,45.8413431227
1.8768,192.897493953,5125.05182853,5125.05182853,1781.51134195,14743.7491003,45.8430396586
1.878,193.008140809,5126.91627904,5126.91627904,1781.41635825,14755.2650511,45.844735076
1.8792,193.118816551,5128.77966087,5128.77966087,1781.32108255,14766.7823996,45.8464293762
1.8804,193.229521168,5130.64197498,5130.64197498,1781.22551554,14778.3011447,45.8481225607
1.8816,193.340254648,5132.50322229,5132.50322229,1781.12965793,14789.8212854,45.8498146309
1.8828,193.451016981,5134.36340377,5134.36340377,1781.0335104,14801.3428204,45.8515055881
1.884,193.561808155,5136.22252034,5136.22252034,1780.93707363,14812.8657487,45.8531954339
1.8852,193.67262816,5138.08057296,5138.08057296,1780.84034832,14824.3900691,45.8548841695
1.8864,193.783476984,5139.93756256,5139.93756256,1780.74333515,14835.9157806,45.8565717965
1.8876,193.894354616,5141.79349009,5141.79349009,1780.6460348,14847.442882,45.8582583161
1.8888,194.005261045,5143.64835647,5143.64835647,1780.54844796,14858.9713722,45.8599437299
1.89,194.116196261,5145.50216266,5145.50216266,1780.45057531,14870.5012501,45.8616280391
1.8912,194.227160252,5147.35490958,5147.35490958,1780.35241754,14882.0325146,45.8633112453
1.8924,194.338153008,5149.20659817,5149.20659817,1780.2539753,14893.5651645,45.8649933497
1.8936,194.449174516,5151.05722937,5151.05722937,1780.1552493,14905.0991989,45.8666743538
1.8948,194.560224767,5152.90680411,5152.90680411,1780.05624019,14916.6346165,45.868354259
1.896,194.671303749,5154.75532332,5154.75532332,1779.95694866,14928.1714163,45.8700330666
1.8972,194.782411452,5156.60278793,5156.60278793,1779.85737537,14939.7095972,45.871710778
1.8984,194.893547864,5158.44919888,5158.44919888,1779.757521,14951.249158,45.8733873947
1.8996,195.004712975,5160.29455709,5160.29455709,1779.65738622,14962.7900977,45.8750629179
1.9008,195.115906773,5162.1388635,5162.1388635,1779.5569717,14974.3324152,45.876737349
1.902,195.227129248,5163.98211902,5163.98211902,1779.45627809,14985.8761094,45.8784106895
1.9032,195.33838039,5165.82432459,5165.82432459,1779.35530607,14997.4211792,45.8800829406
1.9044,195.449660186,5167.66548113,5167.66548113,1779.25405631,15008.9676234,45.8817541038
1.9056,195.560968626,5169.50558957,5169.50558957,1779.15252945,15020.5154411,45.8834241804
1.9068,195.6723057,5171.34465083,5171.34465083,1779.05072617,15032.064631,45.8850931718
1.908,195.783671396,5173.18266583,5173.18266583,1778.94864712,15043.6151922,45.8867610793
1.9092,195.895065704,5175.01963549,5175.01963549,1778.84629296,15055.1671236,45.8884279043
1.9104,196.006488613,5176.85556074,5176.85556074,1778.74366435,15066.720424,45.8900936482
1.9116,196.117940111,5178.69044249,5178.69044249,1778.64076195,15078.2750923,45.8917583122
1.9128,196.22942019,5180.52428166,5180.52428166,1778.5375864,15089.8311276,45.8934218978
1.914,196.340928836,5182.35707916,5182.35707916,1778.43413835,15101.3885287,45.8950844062
1.9152,196.452466041,5184.18883592,5184.18883592,1778.33041847,15112.9472945,45.8967458389
1.9164,196.564031792,5186.01955286,5186.01955286,1778.2264274,15124.507424,45.8984061971
1.9176,196.67562608,5187.84923087,5187.84923087,1778.12216578,15136.068916,45.9000654822
1.9188,196.787248893,5189.67787089,5189.67787089,1778.01763426,15147.6317695,45.9017236956
1.92,196.898900222,5191.50547381,5191.50547381,1777.9128335,15159.1959835,45.9033808385
1.9212,197.010580054,5193.33204056,5193.33204056,1777.80776412,15170.7615569,45.9050369124
1.9224,197.12228838,5195.15757203,5195.15757203,1777.70242678,15182.3284885,45.9066919185
1.9236,197.234025188,5196.98206915,5196.98206915,1777.59682212,15193.8967774,45.9083458581
1.9248,197.345790469,5198.80553281,5198.80553281,1777.49095077,15205.4664224,45.9099987326
1.926,197.457584212,5200.62796393,5200.62796393,1777.38481337,15217.0374225,45.9116505433
1.9272,197.569406405,5202.44936342,5202.44936342,1777.27841057,15228.6097766,45.9133012915
1.9284,197.681257038,5204.26973217,5204.26973217,1777.17174299,15240.1834837,45.9149509785
1.9296,197.793136101,5206.08907109,5206.08907109,1777.06481127,15251.7585427,45.9165996057
1.9308,197.905043583,5207.90738109,5207.90738109,1776.95761604,15263.3349525,45.9182471744
1.932,198.016979474,5209.72466307,5209.72466307,1776.85015794,15274.9127121,45.9198936858
1.9332,198.128943762,5211.54091793,5211.54091793,1776.74243759,15286.4918205,45.9215391413
1.9344,198.240936437,5213.35614656,5213.35614656,1776.63445562,15298.0722765,45.9231835422
1.9356,198.35295749,5215.17034987,5215.17034987,1776.52621266,15309.6540791,45.9248268897
1.9368,198.465006908,5216.98352877,5216.98352877,1776.41770933,15321.2372273,45.9264691853
1.938,198.577084682,5218.79568413,5218.79568413,1776.30894627,15332.82172,45.9281104301
1.9392,198.689190801,5220.60681687,5220.60681687,1776.19992408,15344.4075561,45.9297506254
1.9404,198.801325255,5222.41692787,5222.41692787,1776.09064341,15355.9947347,45.9313897727
1.9416,198.913488033,5224.22601803,5224.22601803,1775.98110485,15367.5832546,45.9330278731
